Nodes,Time
4,0.00039
5,0.00029
6,0.00031
7,0.0003
8,0.00032
9,0.00032
10,0.00036
11,0.00032
12,0.00043
13,0.00046
14,0.00039
15,0.00045
16,0.00038
17,0.00053
18,0.00043
19,0.00048
20,0.00049
21,0.00056
22,0.00056
23,0.00072
24,0.00066
25,0.00083
26,0.00062
27,0.00063
28,0.00064
29,0.00069
30,0.00067
31,0.00079
32,0.0008
33,0.0011
34,0.00073
35,0.0012
36,0.00076
37,0.0011
38,0.00078
39,0.001
40,0.00088
41,0.00082
42,0.00079
43,0.00099
44,0.0015
45,0.0013
46,0.002
47,0.00096
48,0.0011
49,0.0012
50,0.0015
51,0.0016
52,0.0012
53,0.0011
54,0.0012
55,0.0015
56,0.0014
57,0.0016
58,0.0016
59,0.0016
60,0.0016
61,0.0014
62,0.0017
63,0.0015
64,0.0016
65,0.0016
66,0.0018
67,0.0016
68,0.0015
69,0.0022
70,0.0019
71,0.0021
72,0.0027
73,0.0018
74,0.0023
75,0.0023
76,0.0028
77,0.0021
78,0.003
79,0.002
80,0.002
81,0.0034
82,0.0032
83,0.0023
84,0.0032
85,0.0027
86,0.0025
87,0.0036
88,0.0031
89,0.0047
90,0.0028
91,0.0041
92,0.0024
93,0.0041
94,0.0037
95,0.0033
96,0.0026
97,0.0037
98,0.0027
99,0.0028
100,0.004
101,0.0035
102,0.0039
103,0.0039
104,0.0032
105,0.0034
106,0.0033
107,0.0032
108,0.003
109,0.0042
110,0.0049
111,0.0051
112,0.0058
113,0.0082
114,0.0033
115,0.0053
116,0.0044
117,0.0043
118,0.0051
119,0.0056
120,0.0074
121,0.005
122,0.0056
123,0.0046
124,0.006
125,0.0037
126,0.0045
127,0.01
128,0.0042
129,0.0089
130,0.0039
131,0.0081
132,0.0052
133,0.0045
134,0.0064
135,0.0047
136,0.0041
137,0.0044
138,0.0059
139,0.0055
140,0.0064
141,0.0065
142,0.0053
143,0.0055
144,0.0086
145,0.0075
146,0.0079
147,0.015
148,0.01
149,0.011
150,0.0055
151,0.0057
152,0.0081
153,0.0054
154,0.0085
155,0.0094
156,0.0052
157,0.0088
158,0.0075
159,0.0083
160,0.0078
161,0.012
162,0.014
163,0.0066
164,0.0099
165,0.0071
166,0.0097
167,0.0088
168,0.0065
169,0.0076
170,0.0075
171,0.0061
172,0.0081
173,0.0089
174,0.0094
175,0.0084
176,0.009
177,0.017
178,0.015
179,0.0072
180,0.01
181,0.0074
182,0.0084
183,0.031
184,0.013
185,0.01
186,0.015
187,0.016
188,0.0099
189,0.0091
190,0.019
191,0.013
192,0.013
193,0.014
194,0.0092
195,0.011
196,0.021
197,0.01
198,0.0094
199,0.016
