Nodes,Time
4,0.00037
5,0.00028
6,0.00027
7,0.00034
8,0.00029
9,0.00034
10,0.00032
11,0.00043
12,0.0004
13,0.00051
14,0.00043
15,0.00043
16,0.00043
17,0.00056
18,0.00053
19,0.00066
20,0.00092
21,0.00057
22,0.00066
23,0.00072
24,0.00059
25,0.0008
26,0.00084
27,0.00093
28,0.00085
29,0.0015
30,0.0011
31,0.001
32,0.0012
33,0.002
34,0.0012
35,0.001
36,0.00091
37,0.0012
38,0.00096
39,0.001
40,0.0016
41,0.0018
42,0.0016
43,0.0015
44,0.0028
45,0.0014
46,0.0024
47,0.0015
48,0.0029
49,0.0015
50,0.0045
51,0.0034
52,0.0024
53,0.0026
54,0.0023
55,0.0026
56,0.0014
57,0.0033
58,0.0069
59,0.0022
60,0.002
61,0.0035
62,0.002
63,0.0024
64,0.0032
65,0.0026
66,0.003
67,0.0045
68,0.0043
69,0.0024
70,0.0031
71,0.0044
72,0.0026
73,0.0029
74,0.0034
75,0.0018
76,0.005
77,0.0069
78,0.0039
79,0.0033
80,0.012
81,0.005
82,0.0055
83,0.012
84,0.0081
85,0.0056
86,0.0074
87,0.0027
88,0.0057
89,0.007
90,0.0035
91,0.0061
92,0.0033
93,0.0099
94,0.0036
95,0.0038
96,0.0065
97,0.0056
98,0.0032
99,0.0052
100,0.0094
101,0.011
102,0.0081
103,0.012
104,0.0068
105,0.0099
106,0.012
107,0.006
108,0.019
109,0.0036
110,0.006
111,0.0046
112,0.037
113,0.0099
114,0.0092
115,0.0088
116,0.019
117,0.01
118,0.015
119,0.0067
120,0.015
121,0.0051
122,0.015
123,0.0085
124,0.011
125,0.009
126,0.005
127,0.0084
128,0.02
129,0.0049
130,0.012
131,0.013
132,0.0062
133,0.0071
134,0.0063
135,0.028
136,0.01
137,0.017
138,0.0088
139,0.0081
140,0.0078
141,0.011
142,0.008
143,0.012
144,0.019
145,0.016
146,0.015
147,0.0096
148,0.025
149,0.011
150,0.01
151,0.013
152,0.014
153,0.013
154,0.0064
155,0.014
156,0.013
157,0.0079
158,0.022
159,0.018
160,0.0098
161,0.018
162,0.009
163,0.023
164,0.015
165,0.013
166,0.015
167,0.013
168,0.03
169,0.016
170,0.014
171,0.022
172,0.022
173,0.019
174,0.023
175,0.014
176,0.027
177,0.018
178,0.033
179,0.021
180,0.026
181,0.018
182,0.014
183,0.0086
184,0.025
185,0.0093
186,0.014
187,0.023
188,0.014
189,0.021
190,0.039
191,0.02
192,0.032
193,0.025
194,0.043
195,0.031
196,0.034
197,0.032
198,0.016
199,0.01
